0 START simple_strategy 35
791 MOVE 3 4
792 MOVE 10 4
793 MOVE 22 4
794 MOVE 22 2
795 MOVE 10 2
796 MOVE 3 2
797 MOVE 4 2
798 MOVE 19 9
799 MOVE 7 9
800 MOVE 5 9
801 MOVE 0 9
802 MOVE 9 9
803 MOVE 9 6
804 MOVE 0 6
805 MOVE 5 6
806 MOVE 7 6
807 MOVE 19 6
808 MOVE 14 6
809 MOVE 15 6
810 MOVE 27 16
811 MOVE 26 16
812 MOVE 25 16
813 MOVE 24 16
814 MOVE 12 16
815 MOVE 17 16
816 MOVE 17 12
817 MOVE 12 12
818 MOVE 24 12
819 MOVE 25 12
820 MOVE 26 12
821 MOVE 27 12
822 MOVE 28 1
823 MOVE 23 1
824 ADD 29 2
825 MOVE 13 1
826 MOVE 11 1
827 MOVE 20 1
828 MOVE 6 1
829 MOVE 2 1
830 MOVE 1 1
831 MOVE 1 0
832 MOVE 2 0
833 MOVE 6 0
834 MOVE 20 0
835 MOVE 11 0
836 MOVE 13 0
837 MOVE 23 0
838 MOVE 28 0
839 MOVE 29 4
840 MOVE 4 4
841 MOVE 3 4
842 MOVE 10 4
843 REMOVE 22
843 CASH 18
844 MOVE 10 2
845 MOVE 3 2
846 MOVE 4 2
847 MOVE 29 2
848 MOVE 15 9
849 MOVE 14 9
850 MOVE 19 9
851 MOVE 7 9
852 MOVE 5 9
853 MOVE 0 9
854 MOVE 9 9
855 ADD 30 6
856 MOVE 28 1
857 MOVE 23 1
858 MOVE 13 1
859 MOVE 11 1
860 MOVE 20 1
861 MOVE 6 1
862 MOVE 2 1
863 MOVE 1 1
864 MOVE 1 0
865 MOVE 2 0
866 MOVE 6 0
867 MOVE 20 0
868 MOVE 11 0
869 MOVE 13 0
870 MOVE 23 0
871 MOVE 28 0
872 MOVE 29 4
873 MOVE 4 4
874 REMOVE 3
874 CASH 28
875 MOVE 10 4
876 MOVE 10 2
877 MOVE 4 2
878 MOVE 29 2
879 ADD 31 0
880 MOVE 31 1
881 MOVE 28 1
882 MOVE 23 1
883 MOVE 13 1
884 MOVE 11 1
885 MOVE 20 1
886 MOVE 6 1
887 MOVE 2 1
888 MOVE 1 1
889 MOVE 1 0
890 MOVE 2 0
891 MOVE 6 0
892 MOVE 20 0
893 MOVE 11 0
894 MOVE 13 0
895 MOVE 23 0
896 MOVE 28 0
897 MOVE 31 0
898 MOVE 29 4
899 MOVE 4 4
900 MOVE 10 4
901 MOVE 10 2
902 MOVE 4 2
903 MOVE 29 2
904 MOVE 30 9
905 MOVE 30 6
906 MOVE 9 6
907 MOVE 0 6
908 MOVE 5 6
909 MOVE 7 6
910 ADD 32 12
911 MOVE 31 1
912 MOVE 28 1
913 MOVE 23 1
914 MOVE 13 1
915 MOVE 11 1
916 MOVE 20 1
917 MOVE 6 1
918 MOVE 2 1
919 MOVE 1 1
920 MOVE 1 0
921 MOVE 2 0
922 MOVE 6 0
923 MOVE 20 0
924 MOVE 11 0
925 MOVE 13 0
926 MOVE 23 0
927 MOVE 28 0
928 MOVE 31 0
929 MOVE 29 4
930 ADD 33 6
931 MOVE 31 1
932 MOVE 28 1
933 MOVE 23 1
934 MOVE 13 1
935 MOVE 11 1
936 MOVE 20 1
937 MOVE 6 1
938 MOVE 2 1
939 MOVE 1 1
940 MOVE 1 0
941 MOVE 2 0
942 MOVE 6 0
943 MOVE 20 0
944 MOVE 11 0
945 MOVE 13 0
946 MOVE 23 0
947 REMOVE 28
947 CASH 46
948 MOVE 31 0
949 MOVE 4 4
950 MOVE 10 4
951 MOVE 10 2
952 MOVE 4 2
953 MOVE 29 2
954 MOVE 33 9
955 MOVE 7 9
956 ADD 34 2
957 MOVE 31 1
958 MOVE 23 1
959 MOVE 13 1
960 MOVE 11 1
961 MOVE 20 1
962 MOVE 6 1
963 MOVE 2 1
964 MOVE 1 1
965 MOVE 1 0
966 MOVE 2 0
967 MOVE 6 0
968 MOVE 20 0
969 MOVE 11 0
970 MOVE 13 0
971 MOVE 23 0
972 MOVE 31 0
973 MOVE 34 4
974 MOVE 29 4
975 MOVE 4 4
976 MOVE 10 4
977 MOVE 10 2
978 MOVE 4 2
979 MOVE 29 2
980 MOVE 34 2
981 MOVE 5 9
982 MOVE 0 9
983 MOVE 9 9
984 ADD 35 6
985 MOVE 31 1
986 MOVE 23 1
987 MOVE 13 1
988 MOVE 11 1
989 MOVE 20 1
990 MOVE 6 1
991 MOVE 2 1
992 MOVE 1 1
993 MOVE 1 0
994 MOVE 2 0
995 MOVE 6 0
996 ADD 36 0
997 MOVE 36 1
998 MOVE 6 1
999 MOVE 2 1
1000 MOVE 1 1
1001 MOVE 1 0
1002 MOVE 2 0
1003 MOVE 6 0
1004 MOVE 36 0
1005 MOVE 20 0
1006 MOVE 11 0
1007 MOVE 13 0
1008 MOVE 23 0
1009 MOVE 31 0
1010 MOVE 34 4
1011 REMOVE 29
1011 CASH 47
1012 MOVE 4 4
1013 MOVE 10 4
1014 MOVE 10 2
1015 MOVE 4 2
1016 MOVE 34 2
1017 MOVE 35 9
1018 MOVE 30 9
1019 MOVE 30 6
1020 MOVE 35 6
1021 MOVE 9 6
1022 MOVE 0 6
1023 MOVE 5 6
1024 MOVE 7 6
1025 MOVE 33 6
1026 MOVE 19 6
1027 MOVE 14 6
1028 MOVE 15 6
1029 MOVE 32 16
1030 ADD 37 2
1031 MOVE 31 1
1032 MOVE 23 1
1033 MOVE 13 1
1034 MOVE 11 1
1035 MOVE 20 1
1036 MOVE 36 1
1037 MOVE 6 1
1038 MOVE 2 1
1039 MOVE 1 1
1040 MOVE 1 0
1041 MOVE 2 0
1042 MOVE 6 0
1043 MOVE 36 0
1044 MOVE 20 0
1045 MOVE 11 0
1046 MOVE 13 0
1047 MOVE 23 0
1048 MOVE 31 0
1049 MOVE 37 4
1050 MOVE 34 4
